index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
193,Once Upon a Time in Mumbaai,Movie,2010,Dramas,Netflix,2021-08-27,,,,,
194,Once Upon a Time in Mumbai Dobaara!,Movie,2013,Dramas,Netflix,2021-08-27,,,,,
195,Ragini MMS,Movie,2011,Horror Movies,Netflix,2021-08-27,,,,,
196,Ragini MMS 2,Movie,2014,Horror Movies,Netflix,2021-08-27,,,,,
197,Rebellion,TV Show,2016,International TV Shows,Netflix,2021-08-27,,,,,
198,Shootout at Lokhandwala,Movie,2007,Action & Adventure,Netflix,2021-08-27,,,,,
199,SAS: Rise of the Black Swan,Movie,2021,Action & Adventure,Netflix,2021-08-27,,,,,
200,Shor In the City,Movie,2011,Comedies,Netflix,2021-08-27,,,,,
201,The Dirty Picture,Movie,2011,Comedies,Netflix,2021-08-27,,,,,
202,Titletown High,TV Show,2021,Reality TV,Netflix,2021-08-27,,,,,
203,"LSD: Love, Sex Aur Dhokha",Movie,2010,Dramas,Netflix,2021-08-27,,,,,
204,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,2008,Action & Adventure,Netflix,2021-08-27,,,,,
205,Krishna Cottage,Movie,2004,Action & Adventure,Netflix,2021-08-27,,,,,
206,Kyo Kii... Main Jhuth Nahin Bolta,Movie,2001,Comedies,Netflix,2021-08-27,,,,,
207,King of Boys: The Return of the King,TV Show,2021,Crime TV Shows,Netflix,2021-08-27,,,,,
208,Kyaa Super Kool Hain Hum,Movie,2012,Comedies,Netflix,2021-08-27,,,,,
209,D.P.,TV Show,2021,International TV Shows,Netflix,2021-08-27,,,,,
210,Deadly Sins,TV Show,2002,International TV Shows,Netflix,2021-08-27,,,,,
211,He's All That,Movie,2021,Comedies,Netflix,2021-08-27,,,,,
212,I Heart Arlo,TV Show,2021,Kids' TV,Netflix,2021-08-27,,,,,
213,EMI: Liya Hai To Chukana Padega,Movie,2008,Comedies,Netflix,2021-08-27,,,,,
214,Koi Aap Sa,Movie,2006,Comedies,Netflix,2021-08-27,,,,,
215,C Kkompany,Movie,2008,Action & Adventure,Netflix,2021-08-27,,,,,
216,Kucch To Hai,Movie,2003,Dramas,Netflix,2021-08-27,,,,,
217,Kyaa Kool Hai Hum,Movie,2005,Comedies,Netflix,2021-08-27,,,,,
218,Kyaa Kool Hain Hum 3,Movie,2016,Comedies,Netflix,2021-08-27,,,,,
219,EDENS ZERO,TV Show,2021,Anime Series,Netflix,2021-08-26,,,,,
220,Family Reunion,TV Show,2021,Kids' TV,Netflix,2021-08-26,,,,,
221,Really Love,Movie,2020,Dramas,Netflix,2021-08-25,,,,,
222,Wheel of Fortune,TV Show,2019,Reality TV,Netflix,2021-08-25,,,,,
223,The Water Man,Movie,2021,Children & Family Movies,Netflix,2021-08-25,,,,,
