platform,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,listed_in2,listed_in3
Disney,s1411,Movie,Winnie the Pooh: Springtime with Roo,"Elliot Bour, Saul Blinkoff","Jim Cummings, Ken Sansom, Jimmy Bennett, David Stiers, Kath Soucie, John Fiedler",United States,11/12/2019,2004,G,70 min,Animation, Kids, Musical
Disney,s1412,Movie,Winter Storage,Jack Hannah,,United States,11/12/2019,1949,TV-G,7 min,Animation, Comedy, Family
Disney,s1413,TV Show,Wizards of Waverly Place,,"Selena Gomez, David Henrie, Jake Austin, Jennifer Stone, Maria Canals-Barrera, David DeLuise",United States,11/12/2019,2007,TV-G,4 Seasons,Comedy, Coming of Age, Fantasy
Disney,s1414,Movie,Wizards of Waverly Place: The Movie,Lev L. Spiro,"Selena Gomez, David Henrie, Jake T. Austin, Jennifer Stone, Maria Canals-Barrera, David DeLuise",United States,11/12/2019,2009,TV-G,94 min,Action-Adventure, Comedy, Coming of Age
Disney,s1415,TV Show,Wolverine and The X-Men,,"Steve Blum, Chris Edgerly, Jennifer Hale, Michael Ironside, Danielle Judovits, AJ Buckley",United States,11/12/2019,2008,TV-Y7,1 Season,Action-Adventure, Animation, Kids
Disney,s1416,Movie,World's Greatest Dogs,,Mike Secher,United States,11/12/2019,2015,TV-PG,44 min,Animals&Nature, Documentary, Family
Disney,s1417,Movie,Wreck-It Ralph,Rich Moore,"John Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch, Alan Tudyk, Mindy Kaling",United States,11/12/2019,2012,PG,103 min,Action-Adventure, Animation, Comedy
Disney,s1418,TV Show,X-Men: Evolution,,"Noel Fisher, Vincent Gale, Christopher Judge, David Kaye, Scott McNeil, Meghan Black",United States,11/12/2019,2000,TV-Y7,4 Seasons,Action-Adventure, Animation, Kids
Disney,s1419,Movie,Ye Olden Days,Bert Gillett,,United States,11/12/2019,1933,TV-Y7,9 min,Animation, Comedy, Family
Disney,s1420,Movie,Yellowstone Cubs,Charles Draper,Rex Allen,United States,11/12/2019,1963,TV-PG,48 min,Animals&Nature, Comedy, Family
Disney,s1421,Movie,You Lucky Dog,Paul Schneider,"Kirk Cameron, Chelsea Noble, John de Lancie, Christine Healy, Granville Van Dusen, Christine Cavanaugh",United States,11/12/2019,1998,TV-G,88 min,Comedy, Fantasy,
